Company,Industry,Revenue,Employees,#job30,#job90,MonthlyCharge,TotalCharge,Churn
comp_212,energy,55370,18457,5,65,381,1587,0
comp_213,energy,77170,25723,3,15,115,168,1
comp_214,health,9270,3090,7,38,522,2240,0
comp_215,finance,5320,2660,3,59,328,1481,1
comp_216,travel,84280,42140,9,13,454,863,1
comp_217,retail,13240,3310,5,76,1199,2127,1
comp_218,gov,97700,32567,4,87,276,972,1
comp_219,gov,1010,252,3,93,1042,1186,1
comp_220,energy,37210,9302,5,96,247,1161,0
comp_221,health,19030,9515,4,20,965,5027,1
comp_222,travel,44750,11188,7,28,763,2557,0
comp_223,IT,32370,10790,6,24,1095,6468,1
comp_224,service,9820,3273,3,64,1040,4956,1
comp_225,health,66780,16695,8,17,1180,3381,1
comp_226,retail,73850,24617,5,63,590,6134,1
comp_227,finance,39850,19925,9,13,666,1714,1
comp_228,travel,70890,17722,8,14,378,408,1
comp_229,IT,6150,1538,5,78,473,1492,1
comp_230,energy,13770,3442,6,80,434,861,0
comp_231,travel,40160,20080,8,36,645,1064,0
comp_232,gov,35230,8808,6,77,1105,7332,0
comp_233,finance,6320,2107,6,77,1186,4545,0
comp_234,energy,16160,5387,6,77,449,1871,0
comp_235,IT,23770,5942,7,25,1157,1269,1
comp_236,IT,8950,2238,8,87,659,3909,1
comp_237,retail,98220,24555,7,90,365,492,1
comp_238,gov,96000,32000,8,51,211,820,0
comp_239,retail,31310,10437,3,11,1095,6050,1
comp_240,service,7880,1970,8,63,239,574,0
comp_241,energy,84500,42250,3,43,616,2654,1
comp_242,health,76260,19065,9,37,776,776,0
comp_243,finance,66880,22293,6,88,1039,5644,0
comp_244,travel,840,280,3,12,432,1317,1
comp_245,IT,15110,3778,5,47,794,907,1
comp_246,service,49030,24515,8,28,624,2631,0
comp_247,finance,90180,22545,5,47,766,4307,0
comp_248,finance,13730,4577,3,76,406,734,1
comp_249,energy,79250,19812,7,20,946,4647,0
comp_250,finance,79150,39575,7,73,1190,6359,0
comp_251,energy,33050,8262,9,20,118,464,0
comp_252,travel,4300,1433,9,14,968,4220,1
comp_253,gov,70600,17650,5,87,869,3085,0
comp_254,travel,43390,21695,9,46,114,125,0
comp_255,retail,30150,10050,9,45,490,2083,1
comp_256,energy,3580,1790,3,41,943,1720,1
comp_257,finance,22670,7557,4,61,164,1026,1
comp_258,consulting,55820,27910,4,67,393,2034,1
comp_259,consulting,44170,11042,4,64,1043,3623,1
comp_260,service,44730,22365,8,70,871,1006,0
comp_261,health,41000,13667,5,37,954,1039,0
comp_262,travel,30340,15170,5,46,1190,3873,0
comp_263,service,12370,6185,7,42,1184,3949,0
comp_264,consulting,23970,11985,4,25,717,4700,1
comp_265,consulting,74290,18572,8,75,794,2020,1
comp_266,IT,72930,36465,6,77,916,1865,1
comp_267,IT,85220,28407,5,66,372,1501,1
comp_268,service,68670,17168,8,95,165,354,0
comp_269,travel,92170,46085,7,84,985,5420,0
comp_270,health,44450,11112,4,97,733,2666,1
comp_271,gov,2450,612,7,98,1093,1144,0
comp_272,energy,11180,2795,8,53,447,1183,0
comp_273,gov,67850,22617,4,84,118,1070,1
comp_274,consulting,62360,15590,4,33,604,1574,1
comp_275,energy,34600,11533,4,20,724,773,1
comp_276,finance,71110,35555,8,22,511,1310,0
comp_277,service,92900,23225,4,71,544,684,1
comp_278,consulting,13300,4433,8,34,542,3370,1
comp_279,health,58700,19567,4,67,1132,5587,1
comp_280,travel,4420,1105,7,28,773,1736,0
comp_281,gov,39790,13263,8,65,690,1324,0
comp_282,IT,71580,17895,8,90,1040,2304,1
comp_283,finance,84970,21242,3,29,1185,12369,1
comp_284,finance,97310,32437,3,99,935,8592,1
comp_285,retail,14900,7450,6,69,1071,1837,1
comp_286,energy,40840,10210,5,60,760,5654,0
comp_287,finance,97260,24315,9,81,1038,7836,0
comp_288,travel,21550,5388,7,28,490,1794,0
comp_289,consulting,17050,8525,3,63,252,1368,1
comp_290,finance,28200,9400,6,26,108,133,0
comp_291,health,98590,49295,4,81,712,1867,1
comp_292,gov,18370,9185,4,37,500,851,1
comp_293,gov,39220,13073,3,74,1190,2557,1
comp_294,travel,85830,21458,5,41,368,1340,0
comp_295,service,71740,35870,7,74,928,4925,0
comp_296,gov,5320,2660,9,83,588,947,0
comp_297,IT,78540,19635,3,65,343,735,1
comp_298,service,77120,38560,4,69,245,2350,1
comp_299,consulting,37060,18530,3,71,998,6031,1
comp_300,energy,78250,26083,9,49,371,2870,0
comp_301,health,95380,31793,5,18,293,347,1
comp_302,IT,52390,26195,5,12,522,1757,1
comp_303,health,56810,14202,9,28,289,539,0
comp_304,gov,24350,6088,9,41,113,276,0
comp_305,consulting,62830,20943,9,21,733,3403,1
comp_306,retail,27400,6850,3,40,920,3692,1
comp_307,travel,92710,23178,6,53,264,890,0
comp_308,retail,12130,6065,5,75,1076,1272,1
comp_309,IT,59490,19830,5,70,1154,1191,1
comp_310,gov,89360,22340,4,44,617,1220,1
comp_311,finance,68210,34105,6,59,351,1786,0
comp_312,energy,51890,17297,5,73,174,578,0
comp_313,health,11210,5605,9,93,1076,1822,0
comp_314,consulting,67110,16778,9,43,1170,1348,1
comp_315,consulting,5220,2610,4,11,360,1833,1
comp_316,health,2870,1435,9,80,599,4899,0
comp_317,travel,48920,12230,9,29,522,4332,0
comp_318,travel,47100,15700,8,19,410,619,1
comp_319,energy,41130,13710,7,12,200,1269,1
comp_320,IT,62230,20743,7,90,128,758,1
comp_321,service,36130,12043,3,17,806,943,1
comp_322,consulting,39080,13027,3,92,1028,1312,1
comp_323,IT,54550,27275,6,50,706,5581,1
comp_324,energy,44190,22095,8,79,924,1342,0
comp_325,retail,52060,13015,8,81,959,5643,1
comp_326,consulting,12870,3218,4,48,931,5517,1
comp_327,service,10650,2662,5,97,1054,2041,0
comp_328,service,95290,23822,9,44,712,1332,0
comp_329,gov,99010,49505,9,87,940,1683,0
comp_330,service,96320,32107,8,36,759,2627,0
comp_331,IT,46730,11682,9,69,775,4095,1
comp_332,travel,1400,350,7,90,1069,3036,0
comp_333,finance,92130,30710,8,88,521,1423,0
comp_334,finance,87430,43715,6,84,870,3293,0
comp_335,health,53030,26515,6,63,728,882,0
comp_336,gov,39980,9995,9,43,702,811,0
comp_337,retail,54070,27035,5,47,896,2711,1
comp_338,retail,95160,47580,8,77,1115,8447,1
comp_339,finance,31610,10537,9,70,227,263,0
comp_340,service,49420,16473,5,44,1190,3751,0
comp_341,consulting,71660,35830,8,25,496,594,1
comp_342,service,14210,4737,7,33,248,1099,0
comp_343,gov,78150,19538,7,59,666,691,0
comp_344,finance,77640,19410,3,27,1157,5043,1
comp_345,gov,59040,29520,8,35,687,2374,0
comp_346,retail,68450,22817,4,60,1152,5748,1
comp_347,gov,79730,19932,7,34,803,1563,0
comp_348,consulting,18790,9395,8,84,424,1514,1
comp_349,energy,15580,7790,7,50,100,681,0
comp_350,retail,43470,10868,4,34,704,4380,1
comp_351,gov,30980,7745,6,42,1188,10719,0
comp_352,IT,54240,27120,5,49,950,4735,1
comp_353,consulting,44260,22130,8,85,883,2085,1
comp_354,service,60290,30145,9,69,929,2462,0
comp_355,gov,81270,40635,4,46,172,1452,1
comp_356,retail,11240,2810,4,21,104,116,1
comp_357,consulting,83300,41650,5,81,830,1001,1
comp_358,gov,36920,12307,8,45,582,3959,0
comp_359,finance,26380,6595,5,40,722,2372,0
comp_360,finance,31330,15665,9,60,1114,2537,0
comp_361,health,63840,31920,4,23,1198,5177,1
comp_362,IT,5660,2830,4,72,476,1078,1
comp_363,energy,9730,3243,9,10,696,1102,1
comp_364,retail,29210,14605,5,70,1176,9081,1
comp_365,consulting,70300,17575,4,21,168,366,1
comp_366,energy,13350,4450,4,18,731,3886,1
comp_367,retail,24350,6088,7,24,1199,7465,1
comp_368,retail,57740,28870,7,52,903,2194,1
comp_369,energy,19640,4910,5,66,605,1410,0
comp_370,health,29570,14785,9,58,1158,6409,0
comp_371,finance,49130,12282,6,91,642,712,0
comp_372,energy,46920,15640,5,97,158,684,0
comp_373,health,92270,30757,3,88,915,3840,1
comp_374,IT,97970,32657,9,50,355,1419,1
comp_375,service,84980,42490,5,47,603,789,0
comp_376,IT,14920,4973,4,30,411,2349,1
comp_377,consulting,87730,43865,8,65,783,930,1
comp_378,service,26880,8960,4,99,790,7624,1
comp_379,consulting,81320,20330,9,92,602,3324,1
comp_380,IT,98080,49040,9,45,1174,1367,1
comp_381,energy,95060,31687,7,41,841,1289,0
comp_382,service,13410,4470,6,93,465,676,0
comp_383,service,35140,17570,7,99,551,1788,0
comp_384,service,88190,29397,4,83,207,542,1
comp_385,travel,60750,20250,8,62,830,2334,0
comp_386,travel,49710,16570,9,54,485,2679,0
comp_387,IT,87030,29010,7,69,551,3154,1
comp_388,finance,98780,32927,5,78,840,868,0
comp_389,gov,52140,26070,9,43,521,3810,0
comp_390,finance,84520,42260,3,73,474,2391,1
comp_391,IT,97150,32383,8,81,134,261,1
comp_392,health,18840,9420,4,39,609,3141,1
comp_393,consulting,87180,43590,9,86,176,179,1
comp_394,gov,95100,47550,8,85,586,2067,0
comp_395,IT,41610,10402,4,91,1087,1843,1
comp_396,energy,64300,16075,9,38,388,1692,0
comp_397,IT,37060,12353,9,43,651,1485,1
comp_398,IT,35440,11813,9,19,253,418,1
comp_399,consulting,64110,21370,6,31,108,264,1
comp_400,health,70060,35030,6,81,467,1396,0
comp_401,consulting,14710,3678,9,40,1115,3119,1
comp_402,health,93860,31287,5,62,990,1756,0
comp_403,consulting,74720,37360,5,47,925,1939,1
comp_404,finance,23770,11885,9,49,494,1317,0
comp_405,finance,53150,26575,4,99,488,2607,1
comp_406,travel,78200,19550,8,73,565,665,0
comp_407,travel,41600,20800,7,59,1072,3719,0
comp_408,retail,56110,14028,6,87,1125,3910,1
comp_409,consulting,74070,18518,9,93,910,1274,1
comp_410,health,49630,16543,4,70,307,337,1
comp_411,health,60420,20140,6,52,614,1722,0
comp_412,energy,29410,9803,7,41,712,6768,0
comp_413,travel,87080,29027,8,88,768,7400,0
comp_414,health,17030,4258,7,54,749,2238,0
comp_415,energy,35410,11803,7,45,264,2136,0
comp_416,health,48230,24115,7,95,337,358,0
comp_417,service,71790,35895,6,91,317,1284,0
comp_418,travel,44710,22355,5,29,767,3904,0
comp_419,health,76820,25607,7,63,297,1124,0
comp_420,gov,4180,1045,9,72,678,748,0
comp_421,IT,48980,24490,7,74,785,2754,1
comp_422,finance,35520,8880,5,11,1139,3848,1
comp_423,energy,64470,21490,5,65,137,174,0
comp_424,consulting,99130,49565,5,92,1070,5124,1
comp_425,IT,19040,6347,9,54,1140,3903,1
comp_426,service,19070,9535,8,61,827,1186,0
comp_427,retail,47210,23605,4,46,1132,4150,1
comp_428,energy,8150,4075,8,95,290,296,0
comp_429,energy,87660,21915,5,15,738,839,1
comp_430,health,68540,22847,4,64,335,984,1
comp_431,finance,6890,2297,9,28,1062,5822,0
comp_432,IT,79760,19940,3,38,868,1190,1
comp_433,retail,46760,11690,6,10,163,263,1
comp_434,gov,80630,26877,9,81,991,1054,0
comp_435,energy,13370,3342,8,73,147,630,0
comp_436,health,39830,13277,3,41,599,4958,1
comp_437,service,31800,15900,3,77,678,1676,1
comp_438,health,44640,11160,9,87,135,151,0
comp_439,consulting,82740,41370,8,59,622,906,1
comp_440,health,69800,34900,8,62,281,554,0
comp_441,health,46940,11735,5,28,464,528,0
comp_442,travel,25380,8460,7,73,366,398,0
comp_443,service,96920,24230,9,85,529,3927,0
comp_444,health,35700,17850,4,50,764,3203,1
comp_445,IT,62490,15622,3,97,370,573,1
comp_446,health,64850,21617,6,48,250,980,0
comp_447,finance,79660,39830,5,87,1109,7528,0
comp_448,energy,15090,3772,7,59,529,1142,0
comp_449,retail,2230,1115,8,72,1132,4953,1
comp_450,retail,52260,17420,7,80,838,925,1
comp_451,health,21510,10755,5,35,123,756,0
comp_452,service,82890,27630,7,62,939,3819,0
comp_453,health,55850,18617,9,70,952,4682,0
comp_454,consulting,20080,6693,3,92,1133,1197,1
comp_455,health,27910,13955,5,34,273,282,0
comp_456,service,33940,16970,6,14,1154,3208,1
comp_457,service,88440,29480,9,66,1146,1945,0
comp_458,service,34930,11643,7,86,1112,1857,0
comp_459,travel,9890,4945,6,63,261,330,0
comp_460,energy,72850,18212,3,56,1011,3539,1
comp_461,gov,12400,6200,3,32,231,623,1
comp_462,service,42160,14053,8,43,158,1445,0
comp_463,consulting,27480,13740,3,65,341,342,1
comp_464,service,46780,23390,5,24,652,2178,0
comp_465,energy,30460,10153,4,97,679,735,1
comp_466,gov,70430,35215,8,71,311,434,0
comp_467,energy,71530,23843,6,44,604,720,0
comp_468,health,87370,29123,5,59,998,2620,0
comp_469,finance,14720,7360,6,56,113,379,0
comp_470,service,94880,23720,6,70,133,173,0
comp_471,consulting,25140,8380,7,55,1037,2595,1
comp_472,gov,76880,25627,9,56,756,2699,0
comp_473,gov,47910,11978,7,11,620,725,1
comp_474,energy,49220,16407,8,22,554,2198,0
comp_475,service,8030,4015,6,26,408,727,0
comp_476,gov,43550,10888,9,15,575,3814,1
comp_477,gov,81770,20442,7,69,425,1455,0
comp_478,IT,62710,31355,5,52,383,4137,1
comp_479,IT,42370,10592,5,22,429,2493,1
comp_480,travel,62300,31150,8,90,855,900,0
comp_481,finance,14520,7260,3,91,484,765,1
comp_482,travel,43800,21900,9,34,294,453,0
comp_483,IT,36770,12257,3,87,1148,7813,1
comp_484,finance,87050,21762,4,49,634,2187,1
comp_485,health,74320,18580,6,25,1054,4524,0
comp_486,service,78570,19642,3,33,566,4702,1
comp_487,gov,42400,10600,3,29,1179,5333,1
comp_488,energy,10800,3600,5,64,1038,1799,0
comp_489,gov,21330,7110,6,70,593,1902,0
comp_490,service,38760,12920,6,44,715,724,0
comp_491,energy,99440,33147,4,28,381,1580,1
comp_492,health,42030,10508,7,52,833,6435,0
comp_493,health,75670,25223,6,85,666,4483,0
comp_494,consulting,14030,3508,9,29,601,1219,1
comp_495,health,22550,11275,5,37,779,1124,0
comp_496,gov,35630,17815,6,87,1139,5346,0
comp_497,energy,62520,20840,7,48,833,3713,0
comp_498,service,70690,35345,8,14,911,2552,1
comp_499,IT,8390,4195,8,92,153,476,1
comp_500,retail,67600,33800,4,86,514,540,1
comp_501,retail,82380,20595,9,57,1006,7081,1
comp_502,gov,87070,21768,5,46,375,3224,0
comp_503,energy,94150,23538,3,27,245,831,1
comp_504,IT,53190,17730,6,17,290,2164,1
comp_505,service,77850,38925,7,71,1108,4666,0
comp_506,energy,29420,14710,4,92,453,836,1
comp_507,consulting,52960,17653,9,37,1007,3154,1
comp_508,retail,35020,8755,8,60,653,951,1
comp_509,consulting,15820,5273,9,82,260,909,1
comp_510,gov,15280,3820,4,49,1108,2438,1
comp_511,gov,41880,20940,7,84,347,354,0
comp_512,IT,77060,25687,8,69,271,1104,1
comp_513,health,7260,2420,8,43,1011,4648,0
comp_514,energy,16110,8055,8,90,1088,4692,0
comp_515,health,65480,16370,5,69,679,2244,0
comp_516,gov,76640,25547,4,90,1015,7085,1
comp_517,IT,71230,35615,8,78,257,481,1
comp_518,gov,7560,3780,9,36,324,449,0
comp_519,service,77030,38515,9,63,326,892,0
comp_520,finance,32140,10713,5,86,858,3938,0
comp_521,gov,53510,17837,8,98,292,1074,0
comp_522,finance,79690,39845,8,39,655,7094,0
comp_523,consulting,1280,427,6,16,946,3262,1
comp_524,gov,53960,13490,3,78,1147,1633,1
comp_525,IT,8140,2713,4,23,745,5887,1
comp_526,gov,26650,8883,5,39,224,698,0
comp_527,finance,96910,24228,6,15,1027,9830,1
comp_528,health,59320,19773,5,98,291,1459,0
comp_529,service,34940,11647,4,51,335,359,1
comp_530,service,66670,33335,3,96,1107,1244,1
comp_531,service,93210,31070,5,97,472,553,0
comp_532,energy,56990,28495,3,12,469,1823,1
comp_533,finance,12180,4060,3,48,255,348,1
comp_534,consulting,34690,8672,6,32,391,2032,1
comp_535,energy,85190,42595,5,20,320,1125,0
comp_536,consulting,75510,18878,5,20,1121,9441,1
comp_537,service,70240,35120,9,46,203,224,0
comp_538,finance,98720,49360,4,60,1056,2118,1
comp_539,gov,87250,29083,9,25,387,1756,0
comp_540,finance,7400,3700,5,49,609,2310,0
comp_541,energy,9760,3253,9,58,248,498,0
comp_542,health,45840,15280,8,28,145,893,0
comp_543,travel,2620,655,5,35,925,9030,0
comp_544,consulting,45370,11342,9,40,931,1433,1
comp_545,finance,80150,20038,9,78,996,4849,0
comp_546,health,48450,24225,6,12,277,287,1
comp_547,health,59790,19930,3,82,1065,1489,1
comp_548,health,49340,16447,3,60,1094,1115,1
comp_549,retail,60630,30315,4,94,450,773,1
comp_550,retail,19080,6360,7,53,240,1605,1
comp_551,service,50740,25370,5,99,224,1730,0
comp_552,retail,72070,36035,8,15,400,968,1
comp_553,energy,87200,21800,9,17,784,7459,1
comp_554,energy,31970,7992,7,97,1079,4537,0
comp_555,retail,10530,2632,6,67,632,3900,1
comp_556,travel,90830,30277,4,72,664,3425,1
comp_557,travel,55370,18457,9,73,974,3823,0
comp_558,gov,7770,2590,4,24,941,4596,1
comp_559,retail,27920,6980,3,21,123,438,1
comp_560,IT,58780,29390,7,48,699,1859,1
